,record_type,school_name,district_name,county_name,grade_11_enroll,grade_11_takers,grade_11_erw_bm_num,grade_11_erw_bm_pct,grade_11_maths_bm_num,grade_11_maths_bm_pct,grade_11_total_bm_num,grade_11_total_bm_pct,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
91,S,Hesperia High,Hesperia Unified,San Bernardino,491.0,252.0,163.0,64.68,73.0,28.97,70.0,27.78,445.0,108.0,58.0,53.7,21.0,19.44,16.0,14.81
92,S,La Costa Canyon High,San Dieguito Union High,San Diego,481.0,237.0,232.0,97.89,210.0,88.61,209.0,88.19,523.0,183.0,173.0,94.54,145.0,79.23,145.0,79.23
95,S,Etna Union High,Scott Valley Unified,Siskiyou,49.0,22.0,19.0,86.36,17.0,77.27,16.0,72.73,43.0,16.0,9.0,56.25,7.0,43.75,6.0,37.5
98,S,Alameda Community Learning Center,Alameda Unified,Alameda,54.0,30.0,30.0,100.0,25.0,83.33,25.0,83.33,31.0,21.0,20.0,95.24,11.0,52.38,10.0,47.62
99,S,Stockdale High,Kern High,Kern,573.0,247.0,215.0,87.04,191.0,77.33,181.0,73.28,550.0,242.0,201.0,83.06,151.0,62.4,143.0,59.09
101,S,La Serna High,Whittier Union High,Los Angeles,619.0,195.0,165.0,84.62,145.0,74.36,137.0,70.26,609.0,296.0,249.0,84.12,187.0,63.18,179.0,60.47
104,S,Goodwill Independent Study,Victor Valley Union High,San Bernardino,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,S,Silverado High,Victor Valley Union High,San Bernardino,579.0,517.0,182.0,35.2,53.0,10.25,50.0,9.67,546.0,114.0,63.0,55.26,22.0,19.3,22.0,19.3
107,S,Stagg Senior High,Stockton Unified,San Joaquin,370.0,36.0,20.0,55.56,14.0,38.89,12.0,33.33,368.0,73.0,38.0,52.05,17.0,23.29,15.0,20.55
108,S,Summit Public School: Rainier,East Side Union High,Santa Clara,78.0,67.0,39.0,58.21,28.0,41.79,26.0,38.81,105.0,49.0,43.0,87.76,23.0,46.94,22.0,44.9
