,record_type,school_name,district_name,county_name,grade_12_enroll,grade_12_takers,grade_12_erw_bm_num,grade_12_erw_bm_pct,grade_12_maths_bm_num,grade_12_maths_bm_pct,grade_12_total_bm_num,grade_12_total_bm_pct
66,S,Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52.0,17.0,11.0,64.71,5.0,29.41,5.0,29.41
67,S,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,103.0,50.99,51.0,25.25,46.0,22.77
68,S,Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,38.0,76.0,26.0,52.0,23.0,46.0
70,S,Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,125.0,72.25,109.0,63.01,100.0,57.8
71,S,Northern United - Siskiyou Charter,Siskiyou County Office of Education,Siskiyou,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,S,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,17.0,58.62,6.0,20.69,5.0,17.24
73,S,Torrance High,Torrance Unified,Los Angeles,509.0,218.0,182.0,83.49,132.0,60.55,127.0,58.26
74,S,El Capitan High,Merced Union High,Merced,373.0,142.0,91.0,64.08,46.0,32.39,44.0,30.99
75,S,Merced High,Merced Union High,Merced,400.0,110.0,78.0,70.91,47.0,42.73,43.0,39.09
76,S,El Camino Fundamental High,San Juan Unified,Sacramento,321.0,119.0,102.0,85.71,75.0,63.03,74.0,62.18
78,S,Point Loma High,San Diego Unified,San Diego,456.0,191.0,168.0,87.96,134.0,70.16,132.0,69.11
79,S,East High (Continuation),Fortuna Union High,Humboldt,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,123.0,58.0,47.15,30.0,24.39,26.0,21.14
81,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,62.0,77.5,53.0,66.25,48.0,60.0
82,S,Chowchilla Union High,Chowchilla Union High,Madera,262.0,86.0,48.0,55.81,20.0,23.26,18.0,20.93
84,S,Mountain Vista High,Madera Unified,Madera,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,S,Colfax High,Placer Union High,Placer,125.0,51.0,41.0,80.39,30.0,58.82,28.0,54.9
86,S,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,100.0,85.0,85.0,72.0,72.0,69.0,69.0
87,S,Compton High,Compton Unified,Los Angeles,354.0,65.0,25.0,38.46,9.0,13.85,9.0,13.85
88,S,Thurgood Marshall,Compton Unified,Los Angeles,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,S,Saddleback High,Santa Ana Unified,Orange,383.0,321.0,106.0,33.02,80.0,24.92,64.0,19.94
91,S,Hesperia High,Hesperia Unified,San Bernardino,445.0,108.0,58.0,53.7,21.0,19.44,16.0,14.81
92,S,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,183.0,173.0,94.54,145.0,79.23,145.0,79.23
95,S,Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,9.0,56.25,7.0,43.75,6.0,37.5
98,S,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,21.0,20.0,95.24,11.0,52.38,10.0,47.62
99,S,Stockdale High,Kern High,Kern,550.0,242.0,201.0,83.06,151.0,62.4,143.0,59.09
101,S,La Serna High,Whittier Union High,Los Angeles,609.0,296.0,249.0,84.12,187.0,63.18,179.0,60.47
102,S,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75.0,15.0,9.0,60.0,3.0,20.0,3.0,20.0
104,S,Goodwill Independent Study,Victor Valley Union High,San Bernardino,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,S,Silverado High,Victor Valley Union High,San Bernardino,546.0,114.0,63.0,55.26,22.0,19.3,22.0,19.3
107,S,Stagg Senior High,Stockton Unified,San Joaquin,368.0,73.0,38.0,52.05,17.0,23.29,15.0,20.55
108,S,Summit Public School: Rainier,East Side Union High,Santa Clara,105.0,49.0,43.0,87.76,23.0,46.94,22.0,44.9
109,S,Mountain House High,Lammersville Joint Unified,San Joaquin,283.0,132.0,114.0,86.36,82.0,62.12,80.0,60.61
110,S,Farmersville High,Farmersville Unified,Tulare,170.0,60.0,21.0,35.0,6.0,10.0,6.0,10.0
111,S,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,68.0,36.0,52.94,16.0,23.53,16.0,23.53
112,S,Fairfield High,Fairfield-Suisun Unified,Solano,304.0,60.0,35.0,58.33,15.0,25.0,14.0,23.33
113,S,Tulare Union High,Tulare Joint Union High,Tulare,382.0,130.0,77.0,59.23,67.0,51.54,58.0,44.62
114,S,Dimensions Collaborative,San Diego County Office of Education,San Diego,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,S,Chula Vista Senior High,Sweetwater Union High,San Diego,672.0,209.0,141.0,67.46,65.0,31.1,64.0,30.62
117,S,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,204.0,198.0,97.06,183.0,89.71,182.0,89.22
118,S,Albany High,Albany City Unified,Alameda,296.0,114.0,107.0,93.86,97.0,85.09,96.0,84.21
121,S,Keyes to Learning Charter,Keyes Union,Stanislaus,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,S,Hueneme High,Oxnard Union High,Ventura,491.0,402.0,117.0,29.1,73.0,18.16,63.0,15.67
123,S,Modesto High,Modesto City High,Stanislaus,585.0,235.0,151.0,64.26,107.0,45.53,99.0,42.13
124,S,Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,112.0,97.0,86.61,88.0,78.57,84.0,75.0
128,S,Sonora High,Fullerton Joint Union High,Orange,410.0,163.0,140.0,85.89,106.0,65.03,103.0,63.19
129,S,Garden Grove High,Garden Grove Unified,Orange,569.0,215.0,175.0,81.4,131.0,60.93,127.0,59.07
130,S,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Sacramento City Unified,Sacramento,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,S,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,55.0,26.0,47.27,16.0,29.09,14.0,25.45
132,S,Poway High,Poway Unified,San Diego,533.0,186.0,167.0,89.78,153.0,82.26,148.0,79.57
135,S,John H. Pitman High,Turlock Unified,Stanislaus,511.0,221.0,170.0,76.92,100.0,45.25,97.0,43.89
136,S,Taft Union High,Taft Union High,Kern,204.0,46.0,33.0,71.74,15.0,32.61,15.0,32.61
138,S,Puente Hills High,Hacienda la Puente Unified,Los Angeles,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,S,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153.0,38.0,25.0,65.79,10.0,26.32,9.0,23.68
144,S,Mission San Jose High,Fremont Unified,Alameda,490.0,149.0,147.0,98.66,142.0,95.3,142.0,95.3
145,S,Liberty High,Liberty Union High,Contra Costa,610.0,203.0,163.0,80.3,115.0,56.65,109.0,53.69
146,S,Mendota High,Mendota Unified,Fresno,223.0,69.0,23.0,33.33,11.0,15.94,9.0,13.04
147,S,Herlong High,Fort Sage Unified,Lassen,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,S,Los Alamitos High,Los Alamitos Unified,Orange,758.0,319.0,292.0,91.54,234.0,73.35,227.0,71.16
149,S,Temescal Canyon High,Lake Elsinore Unified,Riverside,496.0,238.0,161.0,67.65,110.0,46.22,102.0,42.86
150,S,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,282.0,149.0,52.84,81.0,28.72,66.0,23.4
