Place,County/ies,Population,Population Density,Per capita income,Median household income,Median family income
Delft Colony,Tulare,164,2485,2685,8456,8456
Delhi,Merced,9918,2826,15121,46224,48077
Delleker,Plumas,798,289,20945,30878,66250
Del Mar,San Diego,4242,2485,87852,103457,123938
Del Monte Forest,Monterey,6439,801,48338,102396,126250
Del Rey,Fresno,1489,1224,9746,31222,31065
Del Rey Oaks,Monterey,1727,3598,41181,101250,120417
Del Rio,Stanislaus,1769,970,50082,102679,117730
Denair,Stanislaus,4892,2470,22069,63136,68750
Derby Acres,Kern,324,91,26230,34792,62813
Descanso,San Diego,1305,68,30185,59115,54167
Desert Center,Riverside,208,7,19180,55750,56500
Desert Edge,Riverside,4244,1871,19756,30579,43950
Desert Hot Springs,Riverside,27678,917,14466,33575,34850
Desert Palms,Riverside,6776,2537,46954,56108,82035
Desert Shores,Imperial,1039,1504,11407,30735,36111
Desert View Highlands,Los Angeles,2291,5207,19362,62946,70650
Diablo,Contra Costa,969,714,113989,167188,[7]
Diablo Grande,Stanislaus,1083,212,33285,92880,92609
Diamond Bar,Los Angeles,56259,3781,34539,90901,95500
Diamond Springs,El Dorado,12105,727,24922,52483,68474
Dillon Beach,Marin,82,28,42220,44417,46389
Dinuba,Tulare,22828,3528,12838,38509,37478
Discovery Bay,Contra Costa,14315,2272,43649,112063,114085
Dixon,Solano,18718,2626,26501,66818,71994
Dixon Lane-Meadow Creek,Inyo,2447,728,27392,44792,72394
Dobbins,Yuba,658,85,19331,35469,48182
Dogtown,San Joaquin,2475,191,30638,68281,79565
Dollar Point,Placer,1076,658,44872,68892,87500
Dorrington,Calaveras,349,96,42523,81477,80909
Dorris,Siskiyou,1115,1588,13843,30179,32708
Dos Palos,Merced,5023,3724,13218,33700,34171
Dos Palos Y,Merced,171,108,19360,17708,22000
Douglas City,Trinity,670,27,22331,31645,52000
Downey,Los Angeles,113082,9114,23216,60374,64187
Downieville,Sierra,233,73,29637,54196,112589
Doyle,Lassen,382,63,20169,21950,39196
Drytown,Amador,148,40,25704,77188,107700
Duarte,Los Angeles,21676,3240,26421,62186,72440
Dublin,Alameda,49694,3262,44679,114699,128737
Ducor,Tulare,646,1059,10834,28036,23833
Dunnigan,Yolo,1017,194,27670,63875,74828
Dunsmuir,Siskiyou,1482,924,20503,29464,38571
Durham,Butte,5743,70,34648,69323,75050
Dustin Acres,Kern,295,80,24897,48269,59688
Dutch Flat,Placer,132,223,33769,54000,58750
Eagleville,Modoc,70,72,19651,28333,52083
Earlimart,Tulare,8310,3948,7894,24968,26435
East Foothills,Santa Clara,6479,3094,49726,120881,122969
East Hemet,Riverside,18188,3489,19371,45374,49055
East Los Angeles,Los Angeles,127610,17129,12905,39103,41577
East Nicolaus,Sutter,251,55,22273,42566,44408
East Oakdale,Stanislaus,2901,612,40010,84018,95938
Easton,Fresno,1991,661,26678,58813,63917
East Orosi,Tulare,321,1294,7465,29000,31375
East Palo Alto,San Mateo,28920,11540,18527,52716,53094
East Pasadena,Los Angeles,6123,4642,45380,76019,87273
East Porterville,Tulare,6585,2210,10164,31900,31012
East Quincy,Plumas,2633,217,23396,51045,56667
East Rancho Dominguez,Los Angeles,15343,18666,13065,44964,47115
East Richmond Heights,Contra Costa,3501,6036,32733,68185,83125
East San Gabriel,Los Angeles,15573,9983,33792,72500,90219
East Shore,Plumas,203,172,48613,80625,152083
East Sonora,Tuolumne,2168,876,28074,43484,52500
East Tulare Villa,Tulare,951,1973,15225,45446,45625
Eastvale,Riverside,55298,4367,28687,109783,109717
East Whittier,Los Angeles,10440,9578,27809,66377,73207
Edgewood,Siskiyou,30,30,15243,34375,35313
Edmundson Acres,Kern,274,4152,9448,35000,34375
Edna,San Luis Obispo,174,143,31055,75294,75417
Edwards AFB,Kern,2503,146,20554,63162,64265
El Cajon,San Diego,101582,7016,20430,45957,50257
El Centro,Imperial,43268,3904,18463,41677,47303
El Cerrito,Contra Costa,24136,6600,45190,88380,104524
El Cerrito,Riverside,5551,2174,22752,60987,61467
El Dorado Hills,El Dorado,43862,905,46853,118306,129292
